FileName;River;Position;Time;Replicate;36G;37G;42G;59G;61G;62G;63G;64G;65G;71G;74G;75G;76G;78G;79G;86G;87G;89G;89G;90G;91G;100G;102G;103G;104G;106G;116G;123G;124G;125G;128G;129G;141G;142G;145G;146G;147G;148G;153G;154G;155G;157G;158G;158G;159G;160G;161G;163G;164G;165G;166G;167G;172G;173G;175G;176G;177G;178G;180G;181G;188G;190G;191G;199G;203G;206G;207G;208G;222G;225G;232G;264G;271G;282G;286G;291G;297G;308G;322G;424G;426G;428G;464G;477G;477G;479G;480G;487G;488G;494G
RCAam-T14-L3;RCA;am;T14;L3;1;0;0;0;0;3.35;0;0;0;0;0;0;0;0;0;1.63;0;11.26;0;2.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.06;0;0;0;0;23.98;0;9.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.95;0;0;0;0;0;0
RCAam-T21-L1;RCA;am;T21;L1;1.21;0;0;0;0;0.83;0;0;0;0;0;0;0;0;0;1.18;0;0;19.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.85;0;0;0;0;6.73;0;1.94;0;0;0;0;0;0;0;0;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.93;0;0;0;0;0
RCAam-T21-L2;RCA;am;T21;L2;0;0;0;0;0;2.69;0;0;0;0;0;0;0;0;0;0;0;0;28.64;2.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.9;0;0;0;0;6.7;0;4.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.8;0;0;0;0;0;0
RCAam-T21-L3;RCA;am;T21;L3;2.09;0;2.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61.94;0;0;0;0;7.31;0;2.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAav-T07-L1;RCA;av;T07;L1;0.94;0;0.72;0;0;1.3;0;0;0;0;0;0;0;0;0;0;0;10.27;0;11.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53.65;0;0;0;0;17.42;0;4.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAav-T07-L2;RCA;av;T07;L2;0;0;0;0;0;1.27;0;0;0;0;0;0;0;0;0;0;0;0;8.28;9.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55.19;0;0;0;0;17.29;3.37;5.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAav-T07-L3;RCA;av;T07;L3;0.93;0;0;0;0;1.25;0;0;0;0;0;0;0;0;0;0;0;0;10.95;8.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59.64;0;0;0;0;15.52;0;2.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAav-T14-L1;RCA;av;T14;L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.45;0;3.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76.98;0;0;0;0;6.42;0;2.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAav-T14-L2;RCA;av;T14;L2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.1;2.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83.69;0;0;0;0;2.24;0;1.43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RCAav-T14-L3;RCA;av;T14;L3;0.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.06;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87.27;0;0;0;0;2.1;0;1.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
