Group.1,Group.2,Group.3,Allo,alpha.Caroten,Asta,beta.Caroten,Chl.a,Chl.a.allomer,Chl.a.epimer,Chl.b,Chl.c2,Chl.c3,Chlide.a.,Chlide.b.,Diadino,Diato,DV.Chl.b,Fuco,Lutein,Myxo,Neo,Sipho,Phaeo,Viola,Zea
RMO,AV,T07,0,0,0,3.50744655532686,33.7140308881567,8.50728902039244,0.638151584811537,7.92318131707391,2.26678188676138,0.473979626891935,0.238055658479226,0.143885201476642,2.99875631125425,0.174611690954331,0.693297475333338,26.9242268659951,2.74663392075391,0.633099786617309,1.93850509726052,0.26798545131008,2.84441697013555,2.39098145377834,0.974683237236671
RPE,AV,T07,0,0,0,1.11218165495711,38.884094343498,4.81668161258517,0.317275118466435,21.1794208711513,0.501499380801783,0.084947854299078,0.102346812408528,0.63455023693287,2.50158603383647,0.0470795337079227,0.84020519754469,17.3864638567647,3.83305593094209,0.225162987298761,2.10065981779375,2.13906163420935,0.378683205911553,2.63870752338738,0.276336393503024
GRG,AM,T14,0,0,0.474851608872227,2.02140645970419,39.9842939402421,14.0880489160125,0,2.63236261341926,1.10996768412923,0.251141552511416,0.220700152207002,0,3.18984637894153,0,0,34.3125993043329,0.950278611662401,0,0,0,0.327245053272451,0.437257724692774,0
GRC,AM,T14,0,0,1.01169247847927,1.66682157735961,36.6170335236157,12.1883115171643,0.179581574930412,2.96284233604973,2.98570039825568,0,0,0,2.7724015658588,0,0,35.2905054119302,1.41711659625761,0,0.198405490860097,0.056867498727964,2.24583474666736,0.223882794460364,0.183002489382965
RCA,AM,T14,0,0.265827220904762,0,1.41591753838145,36.1971657042213,13.4685102411566,0.113387978142076,14.4295624336544,1.96877486576158,0.150273224043716,0.136612021857924,0.321491744495291,1.56728985745794,0,0.572354348979301,20.0031323174045,2.19234954665356,0,1.86914285288726,2.34205052987883,1.24850283496188,1.6398605416134,0.097794197544279
RGA,AM,T14,0,0,0,1.3983310768003,40.423455721777,11.807669733408,0,1.05379013619292,3.56905710491367,0.790867684879621,0,0,3.89413706521266,0,0,36.1972097735175,0.325027085590466,0,0,0,0,0.540454617707837,0
RMO,AM,T14,0.36526029965128,0,0.930380008545715,0.810579721392846,29.853129812997,5.62814620398765,0.466783897017817,5.87343927130305,4.38605324868989,0.44969125319434,0.18985581018049,0.158114504653504,3.02249022330003,0.425668960506726,0.211160889560064,35.8604638228285,1.90432648500882,0.112117696308996,1.17627264812888,0,6.43052117556475,1.2503281009243,0.495215966255336
RPE,AM,T14,0,0,0,0.944032366824007,41.1257898278301,13.3797467338246,0,12.9142663549546,3.50686912509037,0,0,0,2.04623232986622,0,0,25.1069244329766,0.976138828633407,0,0,0,0,0,0
GRG,AV,T14,0.452693350650106,0,0.946213889516353,0.888191275283533,21.1295012006737,12.5730453153638,0.489375861973711,3.09873016553504,3.85586766955581,0.9295041747394,0.174557422508399,0.25943594618761,7.22026177265124,0.288632884069975,0.141464206132019,38.2635733116825,1.06377261152538,0.245965414250935,0.546635873864397,2.40041896921166,3.85500074475048,0.514616737530718,0.662541202343255
GRC,AV,T14,0,0,0.763714259104033,1.4430927720127,30.0405023855907,13.6293336646832,0.336661125388775,8.16598548371592,4.06932180076641,0.393540212520016,0.194415436959432,0.177559186986563,2.34141572169097,0.158331004936202,0.29940677128614,29.0786559540752,2.29897092258492,0.12820019922422,0.965580867547406,0.294752272589924,3.08698485098759,0.889736381668768,1.24383872568093
RCA,AV,T14,0,0.366048126550353,0,2.44440472896629,34.2738221076004,8.95770126035407,0.420455819048314,15.4179459710884,2.26664200690449,0.305751588453708,0.175654268343715,1.21963108964818,1.55533293548781,0,0.413297782926115,19.6307748119292,2.02072841107972,0.12093848254519,2.12129482940198,4.83335299433792,1.55989502201822,1.4575502694879,0.43877749382799
RGA,AV,T14,0,0.405519063796136,0.607999382096945,2.6232798327384,44.3023651807044,7.71141217175624,0.381397309263512,11.8571291707569,1.30908710421729,0.0695437927197583,0.109283102845335,0.0715307582260373,1.48973318021677,0,0.531919929235616,17.0635420907598,5.15505889308264,0.782663982426487,1.71057692559432,0.695165841888124,0.31791448100461,2.44200338011899,0.362874426551654
RMO,AV,T14,0,0.098434004474273,0.41387024608501,1.45146405560465,38.3454084017583,6.82268794507291,0.991672170372051,8.3767449255632,2.97093539110715,0.428024941202446,0.104302477183833,0.0782268578878747,2.17223170735125,0.221642764015645,1.27783182036795,24.207754670949,3.66507505537906,0.410365143823712,1.60279354408002,0.117340286831812,4.10608525511698,1.60426443073012,0.532843905042746
RPE,AV,T14,0,0,0,2.42769109651732,33.9330553519917,6.93836148511232,0.389014422483741,13.7764866849355,2.4982839618192,0.590359685033566,0.290387227994225,1.05411756209857,1.6455529439737,0.185024708392532,0.614247552586081,19.385069715852,4.18344217984181,0.382694405325929,1.65184433788804,1.25929540251193,3.52269481163158,3.66746706660177,1.60490939740856
GRG,AM,T21,0,0,0,1.20439932746192,31.8583885224243,16.1086096612243,0.499457429332362,2.29216518302882,2.72227824781503,1.45773252893737,0.17052968608617,0,2.65350820303896,0,0.254299799578437,37.6021592793436,0.710165465504875,0.263636421917186,0.490583446310483,0.366187726868841,0.885778996457526,0.408428345346557,0.0516917293233083
GRC,AM,T21,0,0,0,0.896982183864521,31.3606885211207,11.710240688127,0.424718537408895,1.54567783090046,5.14873615152147,0.744274395204621,0.246782668353915,0,2.78429976461261,0.0364629684564423,0.17580298019905,41.829488390092,0.421238966833633,0,0.152067798564647,0,1.35802316493205,0.937757160379684,0.226757829428238
RCA,AM,T21,0,0,0,1.11930808148634,31.8245484660955,10.3840978695366,1.35263581194706,8.23682137921057,1.78395880040354,1.03452635484641,0.497430560494029,0.250365467115262,1.93838059725472,0,3.22457842029546,30.6635379875729,1.43713218494853,0,1.56482101738128,1.21418430643358,1.60867075085039,1.86500194412778,0
RGA,AM,T21,0,0,0,2.29477298414806,45.0729785314876,9.02943599086758,0,0.752419434059751,2.29477298414806,0,0,0,4.10976529660318,0,0,36.4458547786857,0,0,0,0,0,0,0
RMO,AM,T21,0,0,0,2.01014116924925,31.8928727648427,5.03043302978882,0.533018571363841,4.56264144546001,3.94204978848715,0.275254704657735,0.1331051100387,0.27952201986407,4.59603176032479,0.505098135629194,0.294142412860603,35.5805205420189,1.91352246828044,0.207182320441989,0.876952774903447,0.160140271679003,4.1130877236164,1.53110492399309,1.56317806249977
RPE,AM,T21,0,0,0,1.72357862388977,40.943962306179,9.83031445881434,0,4.60859668889938,0.87496419801828,0,0,0,2.44302592232799,0,0,33.8722363513103,1.43420998814841,0,0.433341830231967,0,0.832696065935933,1.67606675995047,1.32700680629415
GRG,AV,T21,0,0,0,1.77867650312449,26.6730900448722,17.1177324040893,0.666279717940284,5.17635295125235,3.24775210916059,0.42442702351825,0.133153576005726,0.0998651820042943,4.06950993970429,0.309323771755273,0.45577543688669,32.5487035310604,1.4919083906782,0.0832209850035783,0.851626944301556,0,2.10223634598976,1.03765053105522,1.73271461159753
GRC,AV,T21,0,0,0,1.76488921561013,34.424239241038,8.07906160522664,0.693065830355232,4.53972475279657,4.15768254726029,0.427665279650898,0.148822758217517,0,3.35536530654886,0.514452373699899,0.226970337324881,34.6152400829988,1.31102880505449,0.086092196916334,0.457549501466971,0,2.5610734541005,1.08187786508008,1.55519884665392
RCA,AV,T21,0,0,0,1.37561037663324,34.1048233816885,9.16317342521863,0.647051330822678,7.96304878821123,4.4677053445287,0.295005986764728,0.271305563711549,0.352312644026282,2.0701730188016,0.114175836633308,0.524572593709722,31.3679935722579,1.59063761588714,1.05831217117195,0.838406053368545,1.31326215474631,1.41940199660245,0.900594849299933,0.162433295915553
RGA,AV,T21,0,0,0,2.88681190149183,37.9741208789419,8.68232005650151,0.99247313286695,9.64120404199873,1.7761047455474,0.148570315163914,0.107165473232987,0.112036631107214,2.48625463172678,0,0.894684552107832,19.0967838764699,4.60543346499097,2.31432202471263,2.14071073956524,0.720827285918517,1.05822078493163,3.65811718124704,0.703838281477064
RMO,AV,T21,0.990724417889187,0,0,0.726836051068133,8.78215809996809,32.6773654136475,0.662490239797787,6.75155882825647,2.57388064739551,0.542206074593759,0.077423840222475,0,2.95977203119721,0,1.33148481773063,32.4215601628646,2.81756943237969,2.27727834020177,1.14659267408677,0,1.93981206096056,1.19962083310455,0.121666034635318
