 FileName;River;Position;Time;Replicate;37B;38B;40B;44B;46B;51B;60B;61B;64B;65B;66B;75B;80B;80B;81B;82B;88B;91B;94B;95B;96B;100B;101B;102B;103B;104B;105B;106B;107B;109B;110B;111B;114B;115B;117B;118B;119B;124B;125B;126B;127B;130B;131B;135B;140B;141B;148B;149B;159B;160B;161B;162B;170B;174B;175B;182B;186B;213B;222B;223B;227B;228B;229B;230B;233B;234B;235B;237B;239B;241B;243B;245B;246B;247B;251B;252B;254B;256B;259B;260B;262B;263B;264B;266B;267B;267B;268B;269B;275B;276B;278B;283B;290B;295B;295B;297B;298B;299B;300B;314B;320B;321B;321B;322B;337B;338B;339B;340B;341B;342B;359B;360B;362B;364B;365B;366B;367B;367B;382B;388B;395B;396B;396B;398B;399B;400B;401B;401B;402B;407B;408B;408B;409B;412B;414B;416B;418B;419B;420B;421B;424B;425B;427B;427B;429B;430B;431B;433B;433B;434B;435B;436B;437B;439B;442B;442B;443B;445B;446B;447B;448B;451B;452B;454B;455B;455B;456B;457B
GRGav-T07-L2;GRG;av;T07;L2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;0;0;0;175;0;163;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;23;0;0;0;0;0;36;0;109;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;220;0;25;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;137;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;62;0;0;0;0;0;0;0;0;111;350;0;0;0
GRGav-T07-L3;GRG;av;T07;L3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;0;0;0;145;17;207;0;37;0;0;0;0;0;0;0;38;22;0;0;224;0;21;0;0;0;0;0;51;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;15;0;0;0;0;0;0;90;0;22;0;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;0;0;0;60;0;31;16;0;0;0;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;63;0;0;0;0;0;0;0;0;97;316;0;0;0
GRGav-T14-L1;GRG;av;T14;L1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;64;657;16;137;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;16;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;65;0;0;0;0;0;0;73;0;0;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;614;0;0;0;0;0;0;0;41;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;56;0;16;0;0;421;0;0;0;0;0;0;0;0;105;0;0;0;0
GRGav-T14-L2;GRG;av;T14;L2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;43;525;18;148;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;24;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;95;56;0;0;0;0;0;0;74;0;0;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;760;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;23;0;75;0;359;0;0;0;0;0;0;0;0;80;0;0;0;0
GRGav-T14-L3;GRG;av;T14;L3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;30;353;0;97;0;0;0;0;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;29;0;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;124;32;0;0;0;0;0;0;45;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;0;0;0;0;0;0;0;716;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;52;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;286;0;0;0;0;0;0;0;0;235;0;0;0;0
GRGav-T21-L1;GRG;av;T21;L1;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;571;0;0;0;583;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;282;27;0;0;0;0;0;0;0;0;0;113;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0
GRGav-T21-L2;GRG;av;T21;L2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;0;0;70;704;0;109;0;0;0;0;0;0;0;21;0;0;0;0;0;19;0;0;0;0;0;0;0;42;0;115;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;49;28;49;0;0;0;0;0;0;165;0;0;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;445;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;36;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;73;0;0;77;0;627;0;0;0;0;0;0;0;0;250;0;0;0;0
GRGav-T21-L3;GRG;av;T21;L3;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;29;0;10;0;1064;0;0;12;19;0;0;684;0;0;0;14;0;17;0;0;440;762;0;0;0
RCAam-T07-L1;RCA;am;T07;L1;0;0;0;0;0;0;0;0;0;48;0;0;0;39;0;0;0;0;0;0;0;0;92;0;75;0;0;0;0;0;0;0;0;0;35;44;0;0;69;0;0;43;0;0;60;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;0;0;0;0;73;47;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;89;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;0;0;0;0;0;0;0;178;0;38;0
RCAam-T07-L2;RCA;am;T07;L2;0;0;0;0;0;0;0;0;0;39;0;0;0;0;0;0;0;0;0;0;0;0;37;0;37;0;0;0;0;0;0;0;0;0;91;0;0;0;125;0;0;0;0;0;0;0;0;0;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;43;0;0;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;0;0
