"","Group.1","Group.2","Group.3","12:0","13:0","14:0","14:0iso","15:0","15:0anteiso","15:0iso","15:1-n1","16:0","16:0iso","16:1-n5","16:1-n7","16:1-n9","16:2-n4","16:2-n6","16:3-n4","17:0","17:0anteiso","17:0iso","17:1-n9","18:0","18:1-n5","18:1-n7","18:1-n9","18:2-n6","18:3-n3","18:3-n6","18:4-n3","19:0","20:0","20:1","20:2-n9","20:4-n6","20:5-n3","22:0","22:1-n9","22:2-n6","22:6-n3","24:0","24:1-n9"
"11","RMO","AV","T07",0.658609980292822,0.0719429906204527,2.00825534246866,0.612282076135547,0.291296918256025,0.241812386532059,0.609814450851474,0.0915686692901709,41.4663365673463,0.149231194149734,0.565422313352402,3.89121027536928,0.327706042173982,0.875704311479417,0.153030815755826,1.13302638216195,0.308225592230372,0.106165944685915,0.428684898147197,0.658726320661112,35.649765962056,0.0980611914892519,1.12841624251387,2.39835833113681,1.03146652483196,1.94632808443626,0.179256080136452,0.2424830415146,0.0647004873358871,0.432882069070135,0.0683926787274474,0.0338849240451386,0.511292316987809,1.17105875304245,0.124281151119176,0.0179192148300463,0.0491410227833454,0.115412988309863,0.0192683812285303,0.0685770824442747
"12","RPE","AV","T07",0.212353825784976,0.0171945770935702,1.44619166557326,0.165900743121723,0.164757501464485,0.0331874332691015,0.0535396126575319,0.0306502687173746,42.8220439293557,0.0206332850585994,0.031713128664715,4.44697731620365,0.309808936129296,0.470667740600882,0.0332455602457853,0.51073197784512,0.240796017855033,0.0787848457847789,0.319253263985834,0.0773593603316233,39.9711978633578,0.0222077556533057,0.453932863876037,2.05462518234182,0.769546202592024,2.15003497761748,0.286847651751522,0.249580387491425,0.0656179282200971,0.376388582958253,0.12908407176665,0.0964275874377134,0.283225189256992,0.944304189930059,0.116708483287979,0.0420116296188761,0.0957497469832017,0.23206169749696,0.0995406600724107,0.075116358546272
"13","GRG","AM","T14",1.07169534652544,0.0746700444700777,3.61579666506679,0.395677945398889,0.966039961867699,0.28781039273705,0.308551796791846,0.112843337513325,36.5869185465534,0.0679795797175013,0.405047315704751,6.51867437410842,2.16647758579734,1.01173625485173,0.29566500611006,2.12865725477907,0.429838432085237,0.135022443854982,0.346865164211395,0.128046384467906,29.6190004163526,0.144073431248799,0.898961411282024,3.87096580435717,1.18840655953419,0.561140321638363,0.276546065591663,0.289275069184313,0.244273881076904,0.180004988534843,0.461351611988645,0.325224215908209,1.43007735230947,2.00125313315748,0.236002756000693,0.63586723852641,0.0253803186276213,0.401544580772853,0.120055123491506,0.0365818878032561
"14","GRC","AM","T14",0.961376473742695,0.0897363572427208,4.59847127431011,0.658451933032531,0.905441646445823,0.280669323378397,0.258468860436332,0.126140294098008,34.1964482024274,0.14215735431058,0.262047728944896,6.21422459365047,2.0018210753952,1.78838078330038,0.446194654484417,4.95922462127343,0.427891085602472,0.130577598482714,0.654393209496216,0.128714222535483,27.0233554163035,0.123867858955068,0.569810828613852,3.11538256693675,1.05930920375799,0.769618694455245,0.307292882882197,0.18327608396336,0.0994472860556834,0.235937346783407,0.521252276690375,0.215769246114756,1.0744008397186,4.1841828991277,0.198890770749781,0.388309824863264,0.0241789546139005,0.562591023518684,0.0467737932847988,0.0655209100207554
"15","RCA","AM","T14",1.02261426653605,0.0812301181537266,5.20723690870185,0.921757266687357,0.854361846659989,0.423762909617577,0.248472784860953,0.146335997642172,31.4540223657324,0.13336873403273,0.232626015497247,9.44189285079606,3.12767110791085,1.75515588305138,0.357710506668151,3.20010532967677,0.390922587147548,0.141714163788281,0.918361367222403,1.14290637572633,16.5487857569295,0.11706162460944,1.22761720120504,3.03828555685492,2.64788771838569,6.79358437925893,0.715936584715966,0.844536841914352,0.0647949647686034,0.130233903885389,0.336029628769673,0.233834719416663,1.29431462910997,3.5836822204932,0.22882584630376,0.422918329314654,0.0137149018296314,0.504933653326968,0.0250330292493865,0.025759123548431
"16","RGA","AM","T14",2.62443867301144,0.137903318042293,5.10209596071601,0.30490118410982,2.17391636001638,0.695353292259147,0.581181979959312,0.162652365170691,37.1799575099775,0.0535421020387123,0.623842375970425,6.0563822313212,2.79215854776458,0.624376458281903,0.245085341831198,1.349662787805,0.812670644755679,0.295213296901319,0.35190803505527,0.14589414823501,25.4654178545578,0.240460944784413,1.1825477011055,3.81763284375651,1.05103039593702,0.279279219282871,0.15344736422922,0.0837404250633638,0.0782086615660878,0.100477009569905,0.701609688307068,0.363572741561934,1.67966783983148,0.527785145382184,0.437946414586966,0.57771291972884,0.00355136685231868,0.806578737875183,0.0938299609825411,0.0423661518159611
"17","RMO","AM","T14",0.16009780129116,0.017416429750519,5.55296729358307,0.35807462322319,0.311309321200939,0.0657665775754551,0.139209299737779,0.0421261214462603,32.5225499197823,0.0571914983109444,0.232307011149856,26.2774603466415,0.206439361765723,1.64073615983682,0.260999626350255,3.11366011431289,0.175765791107543,0.0325645629958067,0.39440588190423,0.871238507418295,7.01422116562996,0.033509607089858,0.914256493838988,1.76622096104256,1.81304261000792,3.70374491691834,0.937300653174868,1.26255193839151,0.0170617178844491,0.0238461468847868,0.137317382775045,0.0451848017149874,1.71770331878518,7.55786219065349,0.0977870613607177,0.0492269964692595,0.00680932234382883,0.442715285497853,0.0128884968818159,0.0144626832700729
"18","RPE","AM","T14",3.43120749046082,0.167148465592163,5.87384093202258,0.179249668886182,2.16701346728451,0.587742077572492,0.332072502778762,0.165644038262486,34.9972401740666,0.0201480061494866,0.481117472019213,3.2484612911264,4.75737459741985,0.532819967966692,0.0436626710913827,0.747814908944812,0.761017096812669,0.282245301971466,0.272613678077899,0.507029500381763,24.5037628362342,0.281333297315891,0.766782493103381,8.14169198293405,2.04653271494592,0.744122292904658,0.0627043225753374,0.211833257802544,0.0786232771571041,0.336817907851591,0.61459784457477,0.371639952434117,0.175749620827405,0.501014252622959,0.36981982017682,0.576729043408542,0.01196365474362,0.552454331228013,0.0454411997176329,0.0509225885531483
"19","GRG","AV","T14",0.118035675444739,0.0404236507024983,7.97860944987942,0.383026794014565,0.269377275707107,0.0580676463055811,0.151368739388329,0.0890471521908786,28.1170879480261,0.0817049893159028,0.254848164591183,26.603937813199,0.133070262902964,3.35800888169301,0.357144882774766,5.912947906217,0.132706422572214,0.0237567367635058,0.377205972362395,0.363118215675983,6.54435639229984,0.0348997901210658,0.903588824860087,1.37797110851567,1.71473610647925,2.77152399024136,0.847049491739399,0.652776682733998,0.0299031254273497,0.0329434387293834,0.117015751619565,0.0390462796488029,1.39289251142025,7.9065733553558,0.054360560411082,0.0254024653234531,0.0308271554136188,0.701452212758716,0.00830800652071383,0.0108781706535033
"20","GRC","AV","T14",0.399463226039154,0.0468264506441269,4.91259457246796,0.889038367749453,0.405695796007362,0.187397350197363,0.288157805960881,0.119790528528235,32.0344834881199,0.150778637703429,0.239345621446512,9.28445100711626,1.82804471738664,1.87330189252818,0.374782247245671,4.02938155831551,0.396450303360769,0.147118061663294,1.22303083999152,0.415800987342305,15.6391731802965,0.0949385105972769,1.46353489263884,2.05947767087743,3.01826632641877,7.35473204316304,0.577057819912854,0.699784728887073,0.0450219926170922,0.0710527419064839,0.238925731198444,0.17848023423043,1.47104670259674,6.91018708322806,0.103270190252187,0.142065997543223,0.0426933751606998,0.592767636698429,0.0360174250535716,0.0155722569083596
